Name,Profile,Tier,Gold,Silver,Bronze,Points
Manuel Campos,https://www.kaggle.com/coreacasa,expert,0,11,8,25510
Ren,https://www.kaggle.com/ryanzhang,expert,0,14,5,25495
currypurin,https://www.kaggle.com/currypurin,master,3,3,5,25473
Mukharbek Organokov,https://www.kaggle.com/muhakabartay,expert,0,3,6,25367
Maksims Volkovs,https://www.kaggle.com/mvolkovs,grandmaster,6,2,2,25338
yu4u,https://www.kaggle.com/ren4yu,master,2,5,2,25324
plantsgo,https://www.kaggle.com/plantsgo,grandmaster,6,3,2,25285
Zili Wang,https://www.kaggle.com/ziliwang,master,1,2,2,25234
JiLian,https://www.kaggle.com/jilian,master,3,2,0,25182
🐢 Jun Koda,https://www.kaggle.com/junkoda,expert,2,0,0,25108
Masoud Farivar,https://www.kaggle.com/engenious,master,2,6,7,25077
Konstantin Lopuhin,https://www.kaggle.com/lopuhin,grandmaster,5,2,2,25063
CHAN,https://www.kaggle.com/currylc,master,4,0,1,25043
Cedric Damien,https://www.kaggle.com/cedricdamien,expert,1,0,4,24980
Andres Torrubia,https://www.kaggle.com/antorsae,master,2,6,2,24969
IHiroaki,https://www.kaggle.com/ihiroaki,expert,1,1,1,24922
owruby,https://www.kaggle.com/owruby,master,4,5,4,24889
Miroslav Valan,https://www.kaggle.com/valanm,expert,0,4,7,24887
Random_prediction,https://www.kaggle.com/rytisva88,master,1,5,1,24811
interneuron,https://www.kaggle.com/interneuron,master,1,6,3,24719
tascj,https://www.kaggle.com/tascj0,master,1,4,1,24680
student,https://www.kaggle.com/liger1776,expert,0,2,4,24671
Podpall,https://www.kaggle.com/podpall,expert,1,0,1,24447
CoreyLevinson,https://www.kaggle.com/returnofsputnik,master,3,5,4,24415
Y. O.,https://www.kaggle.com/yuooka,master,1,2,3,24395
gavrand,https://www.kaggle.com/agavranis,expert,0,8,24,24129
all_random,https://www.kaggle.com/a11rand0m,master,2,9,4,24090
yangDDD,https://www.kaggle.com/yangddd,master,3,4,4,23960
Artyom Palvelev,https://www.kaggle.com/artyomp,master,2,8,7,23931
Panos,https://www.kaggle.com/panosc,master,1,8,14,23898
Ern,https://www.kaggle.com/erniechiew,master,3,8,1,23894
Soonhwan Kwon,https://www.kaggle.com/soonhwankwon,expert,0,11,11,23881
Eduardo Rocha de Andrade,https://www.kaggle.com/arc144,master,2,8,0,23871
Marisaka Mozz,https://www.kaggle.com/marisakamozz,expert,1,1,0,23779
mlandry,https://www.kaggle.com/mlandry,grandmaster,6,28,19,23725
Danijel Kivaranovic,https://www.kaggle.com/danijelk,grandmaster,6,4,1,23671
RDizzl3,https://www.kaggle.com/rdizzl3,master,4,8,4,23615
NxGTR,https://www.kaggle.com/carloshuertas,master,1,17,20,23604
Arunkumar Venkataramanan,https://www.kaggle.com/arunkumarramanan,expert,0,0,4,23590
idle_speculation,https://www.kaggle.com/speculation,grandmaster,8,9,6,23585
liuzhangzhen,https://www.kaggle.com/liuzhangzhen,expert,0,2,3,23525
Olga Ivanova,https://www.kaggle.com/olgaiv39,expert,0,1,3,23416
Stanislav Semenov,https://www.kaggle.com/stasg7,grandmaster,28,9,0,23259
mrkmakr,https://www.kaggle.com/mrkmakr,master,1,6,2,23143
louis,https://www.kaggle.com/darkcoeus,master,3,0,0,23040
Sogna,https://www.kaggle.com/songwonho,master,3,5,2,22912
Branden Murray,https://www.kaggle.com/brandenkmurray,grandmaster,7,15,5,22885
YujiAriyasu,https://www.kaggle.com/yujiariyasu,expert,1,1,0,22736
Ching-Loong Seow,https://www.kaggle.com/chingloong,master,1,7,2,22704
qrfaction,https://www.kaggle.com/action,grandmaster,5,3,2,22562
ynktk,https://www.kaggle.com/naka2ka,master,4,1,2,22536
Kirill Brodt (shad nsk),https://www.kaggle.com/kbrodt,master,1,8,2,22526
chizhu,https://www.kaggle.com/chizhu2018,master,4,6,3,22415
(￣^￣)ゞ,https://www.kaggle.com/hugejj,master,4,3,0,22332
MPWARE,https://www.kaggle.com/mpware,master,2,6,1,22316
Alexander Ryzhkov,https://www.kaggle.com/alexryzhkov,grandmaster,6,12,10,22183
Eugene Khvedchenya,https://www.kaggle.com/bloodaxe,master,3,2,3,22141
tkm2261,https://www.kaggle.com/tkm2261,master,3,5,2,22119
Himanshu Rai,https://www.kaggle.com/bhilai,master,4,1,0,22067
