Name,Profile,Tier,Gold,Silver,Bronze,Points
akensert,https://www.kaggle.com/akensert,expert,3,2,105,171
Xavier,https://www.kaggle.com/xvivancos,expert,0,0,389,170
roblex nana,https://www.kaggle.com/roblexnana,expert,1,1,143,170
Chris Crawford,https://www.kaggle.com/crawford,expert,14,24,156,169
Max,https://www.kaggle.com/maxjon,expert,4,8,41,169
Waylon Wu,https://www.kaggle.com/waylongo,expert,7,4,46,169
shivan kumar,https://www.kaggle.com/shivan118,expert,1,4,100,169
Jaideep,https://www.kaggle.com/jaideepvalani,expert,0,5,154,167
BreakfastPirate,https://www.kaggle.com/breakfastpirate,master,63,62,289,165
Daniel Möller,https://www.kaggle.com/danmoller,expert,7,13,212,165
SAIF UDDIN,https://www.kaggle.com/saife245,expert,0,1,164,165
takuoko,https://www.kaggle.com/takuok,expert,5,9,59,164
Sirish Somanchi,https://www.kaggle.com/sirishks,expert,2,6,44,163
Michael Kazachok,https://www.kaggle.com/miklgr500,expert,2,9,45,163
Kain,https://www.kaggle.com/kainsama,expert,6,16,97,162
Kiram Al-Kharba,https://www.kaggle.com/al0kharba,expert,2,1,50,162
Anthony Perez,https://www.kaggle.com/anthonymcqueen,expert,1,2,125,162
arnab,https://www.kaggle.com/arnabbiswas1,expert,5,9,76,161
Shivam Bansal,https://www.kaggle.com/shivamb,expert,6,14,278,161
Kaushal Shah,https://www.kaggle.com/kaushal2896,expert,1,6,89,161
Luca Massaron,https://www.kaggle.com/lucamassaron,expert,8,11,49,160
senkin13,https://www.kaggle.com/senkin13,expert,7,7,65,160
jionie,https://www.kaggle.com/jionie,expert,4,4,120,160
Tasnim Nishat Islam,https://www.kaggle.com/tasnimnishatislam,expert,3,2,85,160
Md Mahmud Ferdous,https://www.kaggle.com/mdmahmudferdous,expert,1,2,129,160
P_R_Mohanty,https://www.kaggle.com/prmohanty,expert,2,7,192,159
Vansh Jatana,https://www.kaggle.com/vanshjatana,expert,0,8,91,159
Max Halford,https://www.kaggle.com/maxhalford,expert,10,14,98,158
Thomas Nelson,https://www.kaggle.com/thomasnelson,expert,7,15,91,158
Mohamed Essam,https://www.kaggle.com/mohammedessam97,expert,0,3,106,157
Wei Hao Khoong,https://www.kaggle.com/khoongweihao,expert,1,1,147,157
Muhammet Ikbal Elek,https://www.kaggle.com/mielek,expert,0,0,182,156
Ole Kröger,https://www.kaggle.com/wikunia,expert,3,6,98,155
Dmytro Panchenko,https://www.kaggle.com/hokmund,expert,7,9,50,155
nvnn,https://www.kaggle.com/nvnnghia,expert,3,2,47,155
sahib singh,https://www.kaggle.com/sahib12,expert,1,2,162,155
daisukelab,https://www.kaggle.com/daisukelab,expert,9,5,91,154
Murilão,https://www.kaggle.com/upadorprofzs,expert,0,2,132,154
Vladislav Bakhteev,https://www.kaggle.com/speedwagon,expert,6,10,38,153
Kyle Boone,https://www.kaggle.com/kyleboone,expert,10,13,37,152
Federico Raimondi,https://www.kaggle.com/raimonds1993,expert,3,9,118,152
Subin An,https://www.kaggle.com/subinium,expert,2,4,157,152
Alexander Soare,https://www.kaggle.com/alexandersoare,expert,2,9,45,151
Aswath Rao V S,https://www.kaggle.com/aswathrao,expert,0,0,129,150
Sri.,https://www.kaggle.com/thatoneguyaditya,expert,1,3,75,150
Sergey Mushinskiy,https://www.kaggle.com/ceperaang,expert,20,19,81,149
NowYSM,https://www.kaggle.com/ashishpatel26,expert,7,10,148,149
Buffalo Spdwy,https://www.kaggle.com/barnwellguy,expert,8,4,53,148
ADAM,https://www.kaggle.com/newbielch,expert,3,4,71,148
30CrMnSiA,https://www.kaggle.com/h4211819,expert,9,14,54,146
Divyansh Agrawal,https://www.kaggle.com/divyansh22,expert,2,2,92,145
MJ Bahmani,https://www.kaggle.com/mjbahmani,expert,2,5,132,144
Brian,https://www.kaggle.com/ldm314,expert,5,14,124,144
Janio Martinez,https://www.kaggle.com/janiobachmann,expert,3,0,396,143
GeSnow,https://www.kaggle.com/jihangz,expert,5,10,101,143
Atul Anand,https://www.kaggle.com/atulanandjha,expert,2,2,143,143
Hassan Amin,https://www.kaggle.com/hassanamin,expert,2,6,71,143
JM100,https://www.kaggle.com/jmourad100,expert,2,9,129,143
Mani Sarkar,https://www.kaggle.com/neomatrix369,expert,0,4,92,143
Ishan Dutta,https://www.kaggle.com/ishandutta,expert,2,4,47,142
Louka Ewington-Pitsos,https://www.kaggle.com/lewington,expert,5,5,63,141
FabienDaniel,https://www.kaggle.com/fabiendaniel,expert,7,14,150,140
Quan,https://www.kaggle.com/quandapro,expert,6,2,49,140
Darragh,https://www.kaggle.com/darraghdog,expert,7,9,94,139
Taemyung Heo,https://www.kaggle.com/tmheo74,expert,5,3,75,139
soham mukherjee,https://www.kaggle.com/soham1024,expert,2,4,55,138
Salman Ibne Eunus,https://www.kaggle.com/salmaneunus,expert,1,0,119,138
Suchith,https://www.kaggle.com/suchith0312,expert,2,4,142,137
Vaishvik,https://www.kaggle.com/vaishvik25,expert,5,1,67,137
Adams,https://www.kaggle.com/adamsfei,expert,6,9,109,136
old-ufo,https://www.kaggle.com/oldufo,expert,5,7,94,134
tito,https://www.kaggle.com/its7171,expert,10,11,49,134
Yih-Dar SHIEH,https://www.kaggle.com/yihdarshieh,expert,3,8,54,133
Harshit Sheoran,https://www.kaggle.com/harshitsheoran,expert,3,4,73,133
Chaitanya Kaul,https://www.kaggle.com/geminikeggler,expert,0,0,111,133
Zac Dannelly,https://www.kaggle.com/dannellyz,expert,3,2,46,132
Ritesh Yadav,https://www.kaggle.com/ritesh2000,expert,0,1,86,132
HarshitMehta,https://www.kaggle.com/harshit92,expert,1,10,120,131
Jeremy Howard,https://www.kaggle.com/jhoward,expert,7,10,85,130
Jack Vial,https://www.kaggle.com/jackvial,expert,3,7,119,130
Chirag Samal,https://www.kaggle.com/chirag9073,expert,2,0,109,129
mezoganet,https://www.kaggle.com/pfichou,expert,4,5,226,128
Akshat Dubey,https://www.kaggle.com/akshat0007,expert,0,2,112,128
tarobxl,https://www.kaggle.com/tarobxl,expert,9,7,65,127
Zoltan,https://www.kaggle.com/szabo7zoltan,expert,3,6,54,126
Julia Says,https://www.kaggle.com/juliasays,expert,2,2,50,126
Felipe Mello,https://www.kaggle.com/felipemello,expert,6,11,61,125
sandy1112,https://www.kaggle.com/sandy1112,expert,2,6,103,124
outrunner,https://www.kaggle.com/outrunner,expert,8,6,46,124
Mr.Shadow,https://www.kaggle.com/chekoduadarsh,expert,3,5,87,124
Abhinand,https://www.kaggle.com/abhinand05,expert,2,8,115,124
Yassine Hamdaoui,https://www.kaggle.com/yassinehamdaoui1,expert,4,2,49,124
B H,https://www.kaggle.com/zero92,expert,3,11,63,123
Panos,https://www.kaggle.com/panosc,expert,11,10,80,122
Christoffer Karlsson,https://www.kaggle.com/christoffer,expert,2,4,57,121
fergusoci,https://www.kaggle.com/fergusoci,expert,2,7,72,121
Jeff Sonas,https://www.kaggle.com/jeffsonas,expert,3,15,310,120
Robert Burbidge,https://www.kaggle.com/robertburbidge,expert,4,4,46,120
chmaxx,https://www.kaggle.com/chmaxx,expert,4,0,50,120
Dalton Hall,https://www.kaggle.com/halldalton94,expert,4,3,52,120
Michal Bogacz,https://www.kaggle.com/michau96,expert,0,0,158,120
Anish Agnihotri,https://www.kaggle.com/anishagnihotri,expert,7,6,50,120
Victor Paslay,https://www.kaggle.com/vpaslay,expert,5,8,65,119
OmerS,https://www.kaggle.com/omershect,expert,4,4,63,119
Hanjoon Choe,https://www.kaggle.com/hanjoonchoe,expert,1,0,131,119
Fedi Ben Messaoud,https://www.kaggle.com/fedi1996,expert,1,4,68,119
RB,https://www.kaggle.com/rashmibanthia,expert,5,6,55,118
Kerem Turgutlu,https://www.kaggle.com/keremt,expert,4,3,67,118
Vikum Sri Wijesinghe,https://www.kaggle.com/vikumsw,expert,1,6,113,118
Eric Bouteillon,https://www.kaggle.com/ebouteillon,expert,5,10,59,118
Miguel Pinto,https://www.kaggle.com/mnpinto,expert,6,6,56,118
Noah Weber,https://www.kaggle.com/zikazika,expert,7,5,76,118
Piyush Paliwal,https://www.kaggle.com/gogogopp,expert,1,7,105,118
Darshan Gandhi,https://www.kaggle.com/darshangandhi,expert,2,1,64,118
merkylove,https://www.kaggle.com/merkylove,expert,5,6,42,117
Aleksandra Deis,https://www.kaggle.com/aleksandradeis,expert,0,1,183,117
Kostya Atarik,https://www.kaggle.com/kostyaatarik,expert,6,10,59,117
Aman Kumar,https://www.kaggle.com/aestheteaman01,expert,2,2,59,117
Krutarth Darji,https://www.kaggle.com/krutarthhd,expert,0,0,126,117
Bunty,https://www.kaggle.com/subbhashit,expert,0,0,109,117
ashkhagan,https://www.kaggle.com/ashkhagan,expert,0,2,101,117
Vlad Golubev,https://www.kaggle.com/golubev,expert,3,5,91,116
Eduardo Rocha de Andrade,https://www.kaggle.com/arc144,expert,4,8,108,116
Kamal Chhirang,https://www.kaggle.com/kamalchhirang,expert,7,5,84,116
Gert,https://www.kaggle.com/gertjac,expert,13,17,82,115
Miha Skalic,https://www.kaggle.com/mihaskalic,expert,12,9,60,115
Laurae,https://www.kaggle.com/laurae2,master,35,57,206,115
veritasium,https://www.kaggle.com/veritasium42,expert,1,1,70,115
Superficially_Bot,https://www.kaggle.com/superficiallybot,expert,0,1,89,115
Kushal Bhavsar,https://www.kaggle.com/spidy20,expert,4,3,86,115
Furagsu,https://www.kaggle.com/efradgamer,expert,0,1,94,115
Shiyuan Zeng,https://www.kaggle.com/cnzengshiyuan,expert,2,0,56,115
AkshatGupta,https://www.kaggle.com/akshat4112,expert,0,3,56,114
NikhilMishra,https://www.kaggle.com/nikhilmishradev,expert,3,3,67,114
Santosh Kumar,https://www.kaggle.com/dssant85,expert,0,0,124,114
NAIN,https://www.kaggle.com/aakashnain,expert,3,7,40,113
OsciiArt,https://www.kaggle.com/osciiart,expert,7,8,48,113
Andrada Olteanu,https://www.kaggle.com/andradaolteanu,expert,1,3,49,113
CarlosPradesK,https://www.kaggle.com/carlospk,expert,4,5,83,112
Kun Hao Yeh,https://www.kaggle.com/khyeh0719,expert,4,4,47,112
Little Boat,https://www.kaggle.com/xiaozhouwang,expert,15,20,125,111
Pranav Kasela,https://www.kaggle.com/pranavkasela,expert,0,1,86,111
Christophe_Lebec,https://www.kaggle.com/christophelebec,expert,1,4,58,111
Ant 🐜,https://www.kaggle.com/superant,expert,3,5,77,110
Bruce Young,https://www.kaggle.com/mutantspore,expert,0,7,44,110
Naruhiko Nakanishi,https://www.kaggle.com/grapestone5321,expert,2,7,72,109
Pavlo Fesenko,https://www.kaggle.com/pavlofesenko,expert,2,2,195,109
Pulkit Mehta,https://www.kaggle.com/pulkitmehtawork1985,expert,0,4,128,109
Twinkle Khanna,https://www.kaggle.com/twinkle0705,expert,2,1,77,109
Kalpak Chepurwar,https://www.kaggle.com/kalpakchepurwar,expert,3,0,66,109
